"Reference","Qty","Value","Voltage","Tempco","Tolerance","Footprint","Manufacturer","MPN","Mouser","Digikey"
"C301,C305,C307,C309,C311","5","100nF","50V","","","Capacitor_SMD:C_0402_1005Metric","","","",""
"C302,C303,C306,C312","4","1uF","6.3V","","","Capacitor_SMD:C_0402_1005Metric","","","",""
"C304,C308,C310","3","10uF","6.3V","","","Capacitor_SMD:C_0603_1608Metric","","","",""
"J301","1","NRPN042MAMS-RC","","","","jeffmakes-footprints:xPRN042MAMP-RC","Sullins","NRPN042MAMS-RC","","S6009-04-ND"
"MIC301","1","SPH0641LU4H-1","","","","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Knowles","SPH0641LU4H-1","721-SPH0641LU4H-1","SPH0641LU4H-1"
"R301,R302","2","33R","","","","Resistor_SMD:R_0402_1005Metric","","","",""
"R303","1","100k","","","","Resistor_SMD:R_0402_1005Metric","","","",""
"SP301,SP302","2","wurth-spacer-WA-SMSI-9774070360","","","","jeffmakes-footprints:Mounting_Wuerth_WA-SMSI-M3_H7mm_9774070360","Wurth","9774070360R","710-9774070360R ","732-5274-1-ND"
"U301","1","PCMD3180","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm_ThermalVias","TI","PCMD3180IRTWT","595-PCMD3180IRTWT","296-PCMD3180IRTWTDKR-ND"
